#-------------------------------------------
# Food Diary Report - Detailed Report,"segunda-feira, setembro 7, 2026"
#-------------------------------------------

#-------------------------------------------
# Report Details
#-------------------------------------------
Data,Cals ( kcal),Gord( g),Sat( g),Carbs( g),Fibras( g),A&#231;&#250;cr( g),Prot( g),S&#243;dio( mg),Col( mg),Pot&#225;ssio( mg)

"segunda-feira, setembro 7, 2026",1636,"52,85","15,441","155,58","17,1","24,88","133,59","2193,36",436,2170
 Café da Manhã,476,"15,66","6,793","34,27","2,7","16,17","48,61",687,313,350
  Pullman Pão de Forma Artesano Integral,123,"1,5","0,3",22,"2,7","4,1","5,4",181,,
"   1 fatia, 50 g"
  Ovo,109,"7,36","2,293","0,57",0,"0,57","9,31",104,313,99
   2 pequenos
  Poços de Caldas Requeijão Cremoso,73,"6,2","3,9","1,3",0,"1,3","2,9",145,0,0
"   1 colher de sopa, 30 g"
  Quatá Leite Desnatado,66,0,0,"9,6",0,"9,6",7,139,0,251
"   1 copo, 200 ml"
  Dux Whey Cappuccino Isolado,105,"0,6","0,3","0,8",,"0,6",24,118,,
"   1 porção, 28 g"
 Almoço,378,"12,01","2,422","34,87","4,3","1,24","35,41",825,40,749
  Arroz com Brócolis,127,"4,3","0,606","19,73","1,1","0,72","2,68",340,0,158
   100 g
  Carne de Panela,175,"6,86","1,675","1,53","0,6","0,4","27,69",255,40,319
   100 g
  Feijão Carioca Cozido,76,"0,85","0,141","13,61","2,6","0,12","5,04",230,0,272
   100 g
 Jantar,611,"23,28","5,706","55,89","8,6","2,75","42,07","315,36",83,772
  Tomates,18,"0,2","0,046","3,92","1,2","2,63","0,88",5,0,237
   100 g
  McCain Batata Airfryer,263,"9,21","0,58","38,36","4,8",,"4,03","38,36",,
   163 g
  Carne Moída Refogada,254,"13,02","4,939",0,0,0,"32,12",42,83,263
   120 g
  Feijão Carioca Cozido,76,"0,85","0,141","13,61","2,6","0,12","5,04",230,0,272
   100 g
 Lanches/Outros,171,"1,9","0,52","30,55","1,5","4,72","7,5",366,0,299
  Pão Francês,137,"1,5","0,32","25,95","1,5","0,12","4,4",304,0,56
   1 unidade
  Piracanjuba Leite Desnatado,34,"0,4","0,2","4,6",0,"4,6","3,1",62,0,243
   100 ml

Total,1636,"52,85","15,441","155,58","17,1","24,88","133,59","2193,36",436,2170
